Index,Season,Name,Team,Age,W,L,ERA,WAR,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (pfx),FT% (pfx),FC% (pfx),FS% (pfx),FO% (pfx),SI% (pfx),SL% (pfx),CU% (pfx),KC% (pfx),EP% (pfx),CH% (pfx),SC% (pfx),KN% (pfx),UN% (pfx),vFA (pfx),vFT (pfx),vFC (pfx),vFS (pfx),vFO (pfx),vSI (pfx),vSL (pfx),vCU (pfx),vKC (pfx),vEP (pfx),vCH (pfx),vSC (pfx),vKN (pfx),FA-X (pfx),FT-X (pfx),FC-X (pfx),FS-X (pfx),FO-X (pfx),SI-X (pfx),SL-X (pfx),CU-X (pfx),KC-X (pfx),EP-X (pfx),CH-X (pfx),SC-X (pfx),KN-X (pfx),FA-Z (pfx),FT-Z (pfx),FC-Z (pfx),FS-Z (pfx),FO-Z (pfx),SI-Z (pfx),SL-Z (pfx),CU-Z (pfx),KC-Z (pfx),EP-Z (pfx),CH-Z (pfx),SC-Z (pfx),KN-Z (pfx),wFA (pfx),wFT (pfx),wFC (pfx),wFS (pfx),wFO (pfx),wSI (pfx),wSL (pfx),wCU (pfx),wKC (pfx),wEP (pfx),wCH (pfx),wSC (pfx),wKN (pfx),wFA/C (pfx),wFT/C (pfx),wFC/C (pfx),wFS/C (pfx),wFO/C (pfx),wSI/C (pfx),wSL/C (pfx),wCU/C (pfx),wKC/C (pfx),wEP/C (pfx),wCH/C (pfx),wSC/C (pfx),wKN/C (pfx),O-Swing% (pfx),Z-Swing% (pfx),Swing% (pfx),O-Contact% (pfx),Z-Contact% (pfx),Contact% (pfx),Zone% (pfx),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi)
234,2009.0,Justin Verlander,Tigers,26.0,19.0,9.0,3.45,7.7,35.0,35.0,3.0,1.0,0.0,0.0,240.0,982.0,219.0,99.0,92.0,20.0,63.0,5.0,6.0,8.0,4.0,269.0,228.0,271.0,134.0,25.0,1302.0,2635.0,3937.0,138.0,16.0,10.0,3.0,10.09,2.36,4.27,8.21,0.75,0.24,1.18,0.319,0.727,2.8,0.84,0.212,0.36,0.092,0.07400000000000001,0.07,0.3,71.0,240.0,,,71.0,$49.4,3.18,3.2,4.33,-16.09,20.42,33.46,3.14,1.08,,0.88,1.05,32.0,3.82,0.2,0.679,95.6,0.023,87.9,,,0.19899999999999998,80.3,0.099,84.1,,,,,0.023,,25.7,-4.8,,2.5,7.3,,,0.98,-5.53,,0.33,1.9,,,0.289,0.6729999999999999,0.496,0.588,0.8340000000000001,0.768,0.5379999999999999,0.621,0.114,0.0,0.0,0.0,76.0,63.0,73.0,0.27399999999999997,0.064,3.06,5.18,0.65,0.6759999999999999,0.002,,,,,0.027000000000000003,0.196,,,0.10099999999999999,,,,95.6,89.3,,,,,86.6,80.1,,,84.2,,,-7.6,-11.6,,,,,1.6,5.7,,,-10.2,,,10.4,6.9,,,,,3.3,-5.6,,,5.7,,,23.7,0.3,,,,,-2.9,0.8,,,7.1,,,0.9,5.06,,,,,-2.76,0.11,,,1.82,,,0.355,0.616,0.495,0.643,0.835,0.772,0.54,19.7,6.3,-1.0,-0.4,-1.4,26 - 26,0.21,0.34700000000000003,0.29600000000000004,0.358,0.179,0.555,0.266,2.89,0.359,0.096,,0.19899999999999998,0.6759999999999999,,,,,,0.028999999999999998,,84.6,,80.7,96.3,,,,,,88.5,,-10.3,,6.0,-7.3,,,,,,0.8,,5.4,,-5.6,10.3,,,,,,4.9,,6.8,,2.3,23.9,,,,,,-3.6,,1.82,,0.29,0.91,,,,,,-3.17,,0.34,0.623,0.496,0.637,0.8320000000000001,0.772,0.551,20.4
212,2010.0,Justin Verlander,Tigers,27.0,18.0,9.0,3.37,6.3,33.0,33.0,4.0,0.0,0.0,0.0,224.1,925.0,190.0,89.0,84.0,14.0,71.0,0.0,6.0,11.0,2.0,219.0,254.0,250.0,116.0,29.0,1300.0,2446.0,3746.0,136.0,17.0,9.0,1.0,8.79,2.85,3.08,7.62,0.56,0.224,1.16,0.286,0.72,2.97,1.02,0.187,0.41,0.11599999999999999,0.055999999999999994,0.067,0.111,56.7,224.1,,,56.7,$37.6,3.14,3.52,1.26,-14.18,15.44,22.92,2.25,0.94,,0.88,0.79,29.0,2.71,-1.37,0.586,95.4,0.069,87.2,,,0.196,79.6,0.149,85.7,,,,,0.012,,3.6,4.6,,5.2,11.3,,,0.17,1.8,,0.71,2.05,,,0.31,0.645,0.462,0.6890000000000001,0.86,0.797,0.452,0.629,0.09300000000000001,0.0,0.0,0.0,80.0,70.0,84.0,0.237,0.077,3.46,5.46,0.4,0.519,0.07,,,,,0.068,0.19899999999999998,,,0.14400000000000002,,,,95.5,93.6,,,,,87.2,79.6,,,85.8,,,-7.8,-9.7,,,,,1.5,6.9,,,-10.8,,,10.1,6.8,,,,,3.8,-6.5,,,5.5,,,5.5,-2.1,,,,,4.8,6.2,,,12.2,,,0.29,-0.8,,,,,1.9,0.84,,,2.26,,,0.315,0.594,0.461,0.6829999999999999,0.851,0.7959999999999999,0.523,20.6,5.3,0.3,-1.2,-1.0,27 - 27,0.16,0.348,0.377,0.275,0.19899999999999998,0.539,0.262,3.36,0.32899999999999996,0.14800000000000002,,0.196,0.586,,,,,,0.07,,86.5,,80.1,96.1,,,,,,87.8,,-10.5,,7.4,-7.5,,,,,,1.9,,5.6,,-6.4,9.9,,,,,,3.6,,11.2,,6.0,4.2,,,,,,5.2,,2.03,,0.82,0.19,,,,,,1.97,,0.309,0.598,0.461,0.6859999999999999,0.848,0.7959999999999999,0.525,22.1
557,2008.0,Justin Verlander,Tigers,25.0,11.0,17.0,4.84,3.0,33.0,33.0,1.0,0.0,0.0,0.0,201.0,880.0,195.0,119.0,108.0,18.0,87.0,8.0,14.0,6.0,3.0,163.0,242.0,256.0,108.0,26.0,1355.0,2173.0,3528.0,97.0,14.0,10.0,3.0,7.3,3.9,1.87,8.73,0.81,0.25,1.4,0.296,0.654,4.18,0.95,0.17800000000000002,0.39899999999999997,0.102,0.07,0.057999999999999996,0.3,29.4,201.0,,,29.4,$18.4,4.17,4.7,-0.68,-14.77,14.09,-4.96,-0.53,0.94,,0.87,0.79,32.0,0.52,-1.24,0.636,93.6,,,,,0.20600000000000002,81.0,0.158,83.7,,,,,0.018000000000000002,0.001,-0.1,,,6.1,2.7,,,-0.01,,,0.85,0.5,,,0.24,0.6779999999999999,0.46,0.6609999999999999,0.8690000000000001,0.815,0.501,0.578,0.085,0.0,0.0,0.0,110.0,96.0,109.0,0.185,0.099,4.49,4.34,0.65,0.613,,,,,0.028999999999999998,0.062,0.142,,,0.154,,,,93.7,,,,,89.1,82.4,80.3,,,83.6,,,-8.0,,,,,-13.8,0.8,0.8,,,-8.2,,,9.9,,,,,5.7,-1.2,-3.2,,,6.3,,,1.3,,,,,-4.3,-1.0,11.0,,,-0.3,,,0.06,,,,,-4.3,-0.46,2.26,,,-0.06,,,0.281,0.636,0.45899999999999996,0.7020000000000001,0.873,0.821,0.501,20.0,1.4,0.2,-1.7,-1.5,25 - 25,0.086,0.385,0.32,0.29600000000000004,0.2,0.55,0.25,4.35,0.305,0.16,,0.20800000000000002,0.63,,,,,,0.001,0.0,84.5,,81.7,94.6,,,,,,85.7,74.8,-8.3,,2.3,-7.5,,,,,,0.3,-6.1,6.6,,-2.9,9.8,,,,,,2.1,12.2,1.0,,6.5,-1.2,,,,,,0.3,0.0,0.19,,0.92,-0.05,,,,,,7.4,-3.79,0.285,0.636,0.45899999999999996,0.7090000000000001,0.872,0.821,0.495,20.5
168,2012.0,Justin Verlander,Tigers,29.0,17.0,8.0,2.64,6.8,33.0,33.0,6.0,1.0,0.0,0.0,238.1,956.0,192.0,81.0,70.0,19.0,60.0,2.0,5.0,2.0,1.0,239.0,271.0,228.0,142.0,35.0,1276.0,2492.0,3768.0,116.0,11.0,11.0,2.0,9.03,2.27,3.98,7.25,0.72,0.215,1.06,0.273,0.764,2.94,1.19,0.222,0.423,0.154,0.083,0.040999999999999995,0.182,61.1,238.1,,,61.1,$44.5,3.44,3.31,4.15,-14.41,18.57,38.58,3.9,1.04,,0.88,1.17,27.0,4.59,-0.59,0.5589999999999999,94.3,0.11900000000000001,84.4,,,0.149,79.2,0.17300000000000001,85.5,,,,,0.002,,14.2,7.0,,11.4,4.9,,,0.68,1.57,,2.03,0.75,,,0.349,0.687,0.494,0.7140000000000001,0.79,0.759,0.428,0.611,0.11900000000000001,0.0,0.0,0.0,63.0,70.0,80.0,0.25,0.063,3.33,4.38,-0.3,0.439,0.06,,,,,0.124,0.154,,,0.223,,,,94.7,94.3,,,,,84.6,79.4,,,86.7,,,-5.8,-9.9,,,,,2.0,6.3,,,-7.9,,,9.3,10.5,,,,,-1.2,-8.5,,,6.6,,,13.8,3.5,,,,,4.6,11.8,,,3.7,,,0.84,1.55,,,,,0.99,2.05,,,0.44,,,0.324,0.653,0.494,0.644,0.809,0.757,0.519,22.1,7.3,1.2,-0.7,0.5,29 - 29,0.187,0.402,0.327,0.272,0.17600000000000002,0.58,0.244,3.18,0.33299999999999996,0.172,,0.145,0.562,,,,,,0.121,,86.3,,80.0,95.0,,,,,,84.9,,-8.8,,6.9,-6.4,,,,,,2.7,,6.4,,-7.9,10.7,,,,,,-0.3,,4.5,,11.5,14.5,,,,,,7.2,,0.69,,2.11,0.69,,,,,,1.58,,0.325,0.648,0.494,0.644,0.812,0.759,0.523,23.4
129,2011.0,Justin Verlander,Tigers,28.0,24.0,5.0,2.4,6.4,34.0,34.0,4.0,2.0,0.0,0.0,251.0,969.0,174.0,73.0,67.0,24.0,57.0,0.0,3.0,7.0,2.0,250.0,262.0,274.0,115.0,30.0,1350.0,2591.0,3941.0,144.0,15.0,8.0,3.0,8.96,2.04,4.39,6.24,0.86,0.191,0.92,0.236,0.8029999999999999,2.99,0.96,0.177,0.402,0.109,0.08800000000000001,0.057,0.375,57.4,251.0,,,57.4,$48.8,3.11,3.12,5.01,-12.96,17.96,52.66,5.28,0.94,,0.87,1.33,30.0,6.37,-1.03,0.57,95.0,0.084,85.9,,,0.183,79.3,0.163,86.4,,,,,0.0,,25.5,4.6,,11.2,10.3,,,1.14,1.39,,1.56,1.61,,,0.332,0.6579999999999999,0.46799999999999997,0.675,0.852,0.779,0.41600000000000004,0.614,0.10400000000000001,0.0,0.0,0.0,58.0,74.0,77.0,0.258,0.059000000000000004,2.98,5.16,-0.59,0.469,0.077,,,,,0.084,0.18600000000000003,,,0.184,,,,95.0,95.1,,,,,85.9,79.4,,,86.8,,,-7.3,-10.5,,,,,1.9,7.7,,,-9.6,,,9.8,9.5,,,,,2.7,-6.8,,,6.7,,,17.6,7.3,,,,,5.3,11.4,,,10.5,,,0.96,2.42,,,,,1.62,1.56,,,1.46,,,0.316,0.613,0.467,0.6459999999999999,0.841,0.7759999999999999,0.51,21.4,9.2,3.1,-0.3,2.8,28 - 28,0.19899999999999998,0.373,0.349,0.278,0.249,0.536,0.21600000000000003,2.81,0.342,0.159,,0.183,0.573,,,,,,0.086,,87.0,,80.0,95.6,,,,,,86.3,,-9.7,,8.0,-7.5,,,,,,2.3,,6.5,,-6.6,10.0,,,,,,2.8,,10.5,,11.7,25.6,,,,,,4.3,,1.68,,1.63,1.14,,,,,,1.29,,0.316,0.619,0.467,0.642,0.845,0.7759999999999999,0.501,22.8
349,2013.0,Justin Verlander,Tigers,30.0,13.0,12.0,3.46,4.9,34.0,34.0,0.0,0.0,0.0,0.0,218.1,925.0,212.0,94.0,84.0,19.0,75.0,1.0,4.0,3.0,1.0,217.0,240.0,243.0,142.0,33.0,1256.0,2436.0,3692.0,135.0,20.0,4.0,2.0,8.95,3.09,2.89,8.74,0.78,0.251,1.31,0.316,0.745,3.28,0.99,0.22699999999999998,0.384,0.136,0.078,0.083,0.5,43.5,218.1,,,43.5,$35.9,3.84,3.67,0.37,-15.67,16.04,12.21,1.36,0.97,,0.88,0.72,34.0,0.74,-0.35,0.56,93.3,0.132,86.0,,,0.139,79.0,0.16899999999999998,84.0,,,,,0.001,,1.2,4.3,,-0.5,2.0,,,0.06,0.88,,-0.1,0.33,,,0.327,0.6809999999999999,0.48100000000000004,0.693,0.831,0.778,0.435,0.6509999999999999,0.107,0.0,0.0,0.0,86.0,82.0,92.0,0.235,0.081,3.61,5.56,0.19,0.442,0.005,,,,,0.136,0.13699999999999998,,,0.281,,,,94.0,93.1,,,,,85.9,78.9,,,86.4,,,-5.7,-9.6,,,,,2.4,4.9,,,-7.4,,,10.2,10.6,,,,,2.4,-7.2,,,8.0,,,0.0,0.7,,,,,3.9,0.6,,,3.0,,,0.0,4.03,,,,,0.79,0.11,,,0.29,,,0.302,0.65,0.48,0.642,0.8390000000000001,0.778,0.51,22.2,3.9,-0.9,0.0,-0.9,30 - 30,0.154,0.405,0.305,0.289,0.18,0.536,0.285,3.46,0.336,0.16899999999999998,,0.139,0.56,,,,,,0.133,,85.1,,79.9,94.4,,,,,,87.1,,-8.6,,5.0,-5.9,,,,,,2.6,,6.5,,-7.3,10.6,,,,,,2.5,,2.0,,1.0,1.3,,,,,,4.2,,0.32,,0.2,0.06,,,,,,0.85,,0.295,0.652,0.48,0.636,0.838,0.778,0.517,23.8
259,2016.0,Justin Verlander,Tigers,33.0,16.0,9.0,3.04,5.3,34.0,34.0,2.0,0.0,0.0,0.0,227.2,903.0,171.0,81.0,77.0,30.0,57.0,1.0,8.0,6.0,0.0,254.0,194.0,275.0,107.0,31.0,1213.0,2455.0,3668.0,110.0,12.0,8.0,0.0,10.04,2.25,4.46,6.76,1.19,0.204,1.0,0.255,0.799,3.48,0.71,0.18600000000000003,0.337,0.113,0.109,0.062,0.0,49.3,227.2,,,49.3,$42.2,3.5,3.78,3.89,-12.99,16.87,37.47,3.79,0.96,,0.87,1.13,32.0,2.56,1.48,0.573,93.5,0.183,88.0,,,0.159,78.7,0.085,85.3,,,,,0.001,,12.2,18.1,,9.2,-5.2,,,0.58,2.71,,1.58,-1.68,,,0.34299999999999997,0.696,0.5,0.647,0.828,0.759,0.445,0.642,0.12,0.0,0.0,0.0,71.0,81.0,89.0,0.281,0.063,3.42,4.35,-0.44,0.5379999999999999,,,,,,0.18100000000000002,0.158,,,0.124,,,,93.7,,,,,,87.9,78.7,,,86.9,,,-7.6,,,,,,0.7,5.9,,,-9.4,,,10.1,,,,,,5.0,-6.3,,,6.3,,,14.8,,,,,,18.6,8.4,,,-6.6,,,0.75,,,,,,2.81,1.46,,,-1.45,,,0.349,0.66,0.5,0.639,0.825,0.758,0.486,24.3,6.7,2.0,-0.6,1.4,33 - 33,0.218,0.396,0.34299999999999997,0.262,0.19699999999999998,0.514,0.289,3.13,0.37799999999999995,0.085,,0.16,0.573,0.012,,,,,0.171,,86.1,,79.4,94.3,89.3,,,,,88.6,,-10.2,,6.0,-7.5,1.3,,,,,0.7,,4.3,,-6.2,10.2,5.7,,,,,5.2,,-5.0,,9.1,12.5,3.5,,,,,15.2,,-1.6,,1.56,0.6,7.67,,,,,2.43,,0.35600000000000004,0.649,0.5,0.638,0.8270000000000001,0.758,0.49200000000000005,26.4
673,2014.0,Justin Verlander,Tigers,31.0,15.0,12.0,4.54,2.9,32.0,32.0,0.0,0.0,0.0,0.0,206.0,893.0,223.0,114.0,104.0,18.0,65.0,1.0,5.0,5.0,1.0,159.0,258.0,264.0,129.0,30.0,1244.0,2165.0,3409.0,130.0,19.0,13.0,4.0,6.95,2.84,2.45,9.74,0.79,0.271,1.4,0.317,0.6679999999999999,3.74,0.98,0.198,0.396,0.114,0.068,0.07400000000000001,0.308,26.7,206.0,,,26.7,$22.4,3.95,4.19,-1.84,-16.92,15.07,-12.39,-1.36,1.01,,0.88,0.78,32.0,-1.23,-0.6,0.5579999999999999,92.3,0.151,85.6,,,0.159,79.1,0.132,83.4,,,,,0.002,,-3.4,3.8,,-11.7,-3.6,,,-0.18,0.75,,-2.16,-0.79,,,0.303,0.6859999999999999,0.47200000000000003,0.7190000000000001,0.867,0.8140000000000001,0.442,0.619,0.08800000000000001,0.0,0.0,0.0,118.0,98.0,111.0,0.17800000000000002,0.073,4.17,5.68,0.8,0.375,0.032,,,,,0.145,0.163,,,0.28600000000000003,,,,93.1,93.2,,,,,85.5,79.2,,,86.9,,,-6.8,-7.8,,,,,1.7,4.6,,,-8.1,,,10.1,5.6,,,,,3.7,-6.3,,,8.0,,,-1.9,-0.4,,,,,2.8,-11.1,,,-1.6,,,-0.15,-0.34,,,,,0.57,-1.99,,,-0.16,,,0.298,0.6509999999999999,0.47200000000000003,0.7070000000000001,0.865,0.815,0.495,22.9,0.7,-1.0,-1.3,-2.3,31 - 31,0.105,0.374,0.377,0.25,0.196,0.527,0.27699999999999997,4.01,0.271,0.131,,0.159,0.5579999999999999,,,,,,0.152,,84.4,,80.0,93.3,,,,,,86.4,,-9.3,,4.9,-6.7,,,,,,1.9,,5.5,,-6.4,10.0,,,,,,3.6,,-1.4,,-11.7,-3.4,,,,,,4.2,,-0.32,,-2.16,-0.18,,,,,,0.82,,0.301,0.648,0.47200000000000003,0.703,0.868,0.815,0.493,24.5
349,2015.0,Justin Verlander,Tigers,32.0,5.0,8.0,3.37,2.9,20.0,20.0,1.0,1.0,0.0,0.0,133.1,535.0,113.0,56.0,50.0,13.0,32.0,1.0,3.0,2.0,0.0,113.0,132.0,174.0,76.0,24.0,759.0,1391.0,2150.0,53.0,8.0,5.0,3.0,7.63,2.16,3.53,7.63,0.88,0.226,1.09,0.267,0.7090000000000001,3.49,0.76,0.19899999999999998,0.34600000000000003,0.138,0.075,0.061,0.6,26.4,133.1,,,26.4,$23.3,3.66,4.15,1.4,-7.98,9.38,10.63,1.09,0.95,,0.88,0.97,19.0,1.22,0.24,0.586,92.8,0.165,85.8,,,0.157,79.5,0.092,84.3,,,,,0.001,,8.1,3.2,,1.5,0.7,,,0.64,0.89,,0.44,0.33,,,0.313,0.691,0.484,0.701,0.845,0.794,0.452,0.639,0.1,0.0,0.0,0.0,83.0,85.0,103.0,0.21100000000000002,0.06,3.95,3.58,-0.12,0.49700000000000005,,,,,,0.16399999999999998,0.156,,,0.184,,,,93.2,,,,,,85.8,79.4,,,87.3,,,-6.9,,,,,,0.5,4.8,,,-7.9,,,10.7,,,,,,4.4,-4.3,,,8.4,,,6.3,,,,,,3.5,1.3,,,2.8,,,0.59,,,,,,1.0,0.38,,,0.72,,,0.313,0.667,0.484,0.67,0.857,0.794,0.483,23.7,2.7,0.8,-1.0,-0.2,32 - 32,0.151,0.36700000000000005,0.364,0.26899999999999996,0.18899999999999997,0.581,0.23,3.67,0.295,0.091,,0.155,0.586,,,,,,0.168,,85.0,,80.1,93.6,,,,,,86.5,,-9.3,,4.8,-7.0,,,,,,0.3,,6.3,,-4.5,10.5,,,,,,4.3,,0.8,,1.3,8.4,,,,,,3.5,,0.39,,0.38,0.67,,,,,,0.98,,0.32,0.654,0.483,0.6809999999999999,0.8540000000000001,0.7959999999999999,0.489,25.4
67,2018.0,Justin Verlander,Astros,35.0,9.0,4.0,2.05,4.5,20.0,20.0,1.0,1.0,0.0,0.0,131.2,506.0,85.0,32.0,30.0,12.0,24.0,0.0,7.0,2.0,1.0,160.0,89.0,173.0,49.0,24.0,668.0,1412.0,2080.0,62.0,8.0,4.0,3.0,10.94,1.64,6.67,5.81,0.82,0.179,0.83,0.241,0.847,2.59,0.51,0.158,0.28600000000000003,0.139,0.069,0.09,0.75,39.1,131.2,,,39.1,$35.8,2.16,3.55,3.69,-6.36,10.05,33.71,3.4,0.97,1.01,0.87,1.27,19.0,3.62,0.2,0.609,94.9,0.237,86.2,0.004,91.3,0.135,79.3,0.016,87.2,,,,,,,26.9,4.2,-1.6,2.1,-0.7,,,2.12,0.86,-17.64,0.73,-2.06,,,0.33,0.696,0.504,0.604,0.812,0.741,0.475,0.6679999999999999,0.131,0.0,0.0,0.0,51.0,63.0,86.0,0.316,0.047,2.99,4.24,-0.54,0.607,,0.005,,,,0.23600000000000002,0.135,,,0.016,,,,94.9,,91.5,,,,86.2,79.3,,,87.3,,,-7.0,,-2.5,,,,1.0,4.8,,,-10.1,,,11.9,,8.6,,,,2.0,-6.1,,,5.5,,,26.8,,-1.4,,,,4.2,2.0,,,-0.6,,,2.13,,-12.77,,,,0.86,0.72,,,-1.88,,,0.32299999999999995,0.667,0.503,0.58,0.81,0.74,0.524,26.4,5.3,1.4,-0.5,0.8,35 - 35,0.26899999999999996,0.34,0.327,0.33299999999999996,0.21600000000000003,0.505,0.27899999999999997,2.53,0.387,0.016,,0.134,0.607,0.005,,,,,0.237,,87.7,,79.6,95.3,92.3,,,,,86.5,,-9.3,,5.9,-6.1,-1.5,,,,,2.2,,4.6,,-7.0,11.2,7.6,,,,,1.2,,-0.7,,2.1,26.6,-1.4,,,,,4.2,,-2.06,,0.76,2.11,-13.61,,,,,0.85,,0.325,0.6559999999999999,0.504,0.601,0.799,0.74,0.54,27.1
